"ITEM  ","DEL","DI","DUTY PD "," DUTY FR ","    COST ","  PR 01 ","  PR 02 ","  PR 03 ","  PR 04 ","  PR 05 ","  PR 06 "," BEEROH ","WINEOH ","UM","B6%","B9%","W6%","W9%","TX?","  PR 07 ","  PR 08 ","  PR 09 ","  PR 10 ","  PR 11 "," ST"
"00112 ","   ","  ","  38.971","   23.522","   38.971","   57.00","   57.00","   65.55","   57.00","   57.00","   39.78","  188.00","       ","CB","   ","  1","   ","   ","Y  ","   39.78","   39.78","   39.78","   51.30","   33.10"," A "
"00116 ","   ","  ","  52.150","   26.400","   52.150","   72.50","   72.50","   83.38","   79.75","   76.12","   36.50","        ","       ","CB","   ","  1","   ","   ","Y  ","   41.06","   41.06","   47.96","   65.25","   47.96"," A "
"00118 ","   ","  ","  13.052","    6.966","   13.052","   18.50","   18.50","   21.28","   20.35","   19.43","   18.50","    1.00","       ","CB","   ","  1","   ","   ","Y  ","   18.50","   18.50","   18.50","   18.50","   18.50"," A "
"00119 ","   ","  ","  55.240","   29.300","   55.240","   71.50","   71.50","   82.22","   71.50","   71.50","   40.54","  109.00","       ","CB","   ","  1","   ","   ","Y  ","   40.54","   40.54","   40.54","   64.35","   40.54"," A "
"00120 ","   ","  ","  53.582","   27.661","   53.582","   69.75","   69.75","   80.21","   76.73","   73.24","   38.25","   54.00","       ","CB","   ","  1","   ","   ","Y  ","   38.25","   38.25","   38.25","   69.75","   34.50"," A "
"00121 ","   ","  ","  35.100","   19.680","   35.100","   59.00","   59.00","   67.85","   59.00","   59.00","   39.95","        ","       ","CB","   ","  1","   ","   ","Y  ","   34.64","   34.64","   39.95","   53.10","   32.50"," A "
"00122 ","   ","  ","  57.886","   31.826","   57.886","        ","        ","        ","        ","        ","        ","        ","       ","CB","   ","  1","   ","   ","Y  ","        ","        ","        ","        ","   39.28"," A "
"00123 ","   ","  ","  10.220","         ","   10.220","   13.50","   13.50","   15.53","   14.85","   14.18","   13.50","        ","       ","CB","   ","  1","   ","   ","Y  ","   13.50","   13.50","   13.50","   13.50","   13.50"," A "
"00125 ","   ","  ","  52.127","   27.940","   52.127","   71.50","   71.50","   82.22","   78.65","   75.08","   40.54","        ","       ","CB","   ","  1","   ","   ","Y  ","   40.54","   40.54","   40.54","   64.35","   40.04"," D "
"00127 ","   ","  ","  59.312","   33.118","   59.312","   72.50","   72.50","   83.38","   72.50","   72.50","   45.50","    4.00","       ","CB","   ","  1","   ","   ","Y  ","   45.50","   45.50","   45.50","   66.50","   38.50"," A "
"00128 ","D  ","  ","  39.236","   21.916","   39.236","   54.50","   54.50","   62.68","   54.50","   54.50","   38.60","        ","       ","CB","   ","  1","   ","   ","Y  ","   38.60","   38.60","   38.60","   49.95","   29.50"," D "
"00129 ","D  ","  ","  62.080","   51.880","   62.080","  107.58","  107.58","  123.72","  118.34","  112.96","   86.98","        ","       ","CB","   ","  1","   ","   ","Y  ","   86.98","   86.98","   86.98","  107.58","   86.98"," D "
"00131 ","D  ","  ","  26.920","   16.720","   26.920","   49.95","   49.95","   57.44","   49.95","   49.95","   33.83","        ","       ","CB","   ","  1","   ","   ","Y  ","   33.83","   33.83","   33.83","   49.95","   25.90"," D "
"00132 ","   ","  ","        ","         ","         ","        ","        ","        ","        ","        ","        ","        ","       ","CB","   ","   ","   ","   ","Y  ","        ","        ","        ","        ","        "," A "
"00133 ","   ","  ","        ","         ","         ","        ","        ","        ","        ","        ","        ","        ","       ","CB","   ","   ","   ","   ","Y  ","        ","        ","        ","        ","        "," A "
"00134 ","   ","  ","  50.169","   29.759","   50.169","   65.75","   65.75","   75.61","   65.75","   65.75","   44.00","   92.00","       ","CB","   ","  1","   ","   ","Y  ","   44.00","   44.00","   44.00","   65.75","   36.05"," A "
"00135 ","   ","  ","  56.290","   30.240","   56.290","   74.50","   74.50","   85.68","   81.95","   78.22","   47.50","        ","       ","CB","   ","  1","   ","   ","Y  ","   47.50","   47.50","   47.50","   67.05","   44.50"," A "
"00136 ","   ","  ","        ","         ","         ","        ","        ","        ","        ","        ","        ","        ","       ","CB","   ","   ","   ","   ","Y  ","        ","        ","        ","        ","        "," A "
"00305 ","X  ","  ","  37.923","   31.498","   37.923","   57.80","   57.80","   66.47","   63.58","   60.69","   57.80","        ","       ","CB","   ","  1","   ","   ","Y  ","   57.80","   57.80","   57.80","   57.80","   42.55"," X "
"00306 ","   ","  ","        ","   28.250","         ","   45.25","   45.25","   52.04","   49.78","   47.51","   45.25","        ","       ","CS","   ","   ","   ","   ","Y  ","   45.25","   45.25","   45.25","   40.72","   32.05"," A "
"00311 ","   ","  ","  25.970","   22.823","   25.970","   34.38","   34.38","   39.54","   34.38","   34.38","   29.81","    4.00","       ","CS","   ","  1","   ","   ","Y  ","   30.35","   30.35","   30.35","   30.94","   27.50"," A "
