"      ","   ML/","    OZ/","     "
"ITEM  ","BOTTLE","   CASE","PROOF"
"101001","  750 ","  304.4","   24"
"101002","  750 ","  304.4","   24"
"101003","  750 ","  304.4","   24"
"101004","  750 ","  304.4","   24"
"101005","  750 ","  304.4","   24"
"101006","  750 ","  304.4","   24"
"101007","  750 ","  304.4","   24"
"101008","  750 ","  304.4","   24"
"101009","  750 ","  304.4","   24"
"101010","  750 ","  304.4","   24"
"101011","  750 ","  304.4","   24"
"101012","  750 ","  304.4","   24"
"101015","  750 ","  304.4","   24"
"101016","  750 ","  304.4","   24"
"101017","  750 ","  304.4","   24"
"101018","  750 ","  304.4","   24"
"101019","  750 ","  152.2","   24"
"101020","  750 ","  304.4","   24"
"101021","  750 ","  304.4","   24"
"101022","  750 ","  304.4","   24"
"101023","  750 ","  304.4","   24"
"101024","  750 ","  304.4","   24"
"101025","  750 ","  304.4","   24"
"101028","  750 ","  304.4","   24"
"101029","  750 ","  304.4","   24"
"101030","  750 ","  304.4","   24"
"101038","  750 ","  152.2","   24"
"101039","  750 ","  152.2","   24"
"101040","  750 ","  152.2","   24"
"101041","  750 ","  152.2","   24"
"101042","  750 ","  152.2","   24"
"101043","  750 ","  152.2","   24"
"101044","  750 ","  152.2","   24"
"101045","  750 ","  152.2","   24"
"101046","  750 ","  152.2","   24"
"101047","  750 ","  304.4","   24"
"101050","  750 ","  152.2","   24"
"101052","  750 ","  152.2","   24"
"101056","  750 ","  152.2","   24"
"101057","  375 ","   76.1","   24"
"101060","  750 ","  152.2","   24"
"101061","  750 ","  304.4","   24"
"101062","  750 ","  304.4","   24"
"101063","  750 ","  152.2","   24"
"101065","  750 ","  304.4","   24"
"101066","  750 ","  304.4","   24"
"101067","  750 ","  304.4","   24"
"101068","  750 ","  304.4","   24"
"101070","  750 ","  304.4","   24"
"101071","  750 ","  304.4","   24"
"101072","  750 ","  152.2","   24"
"101073","  750 ","  304.4","   24"
"101074","  750 ","  304.4","   24"
"101075","  750 ","  152.2","   24"
"101076","  750 ","  152.2","   24"
"101077","  750 ","  304.4","   24"
"101079","  750 ","  304.4","   24"
"101082","  750 ","  304.4","   24"
"101083","  750 ","  152.2","   24"
"101084","  750 ","  152.2","   24"
"101085","  750 ","  152.2","   24"
"101086","  375 ","  152.2","   24"
"101087","  750 ","  304.4","   24"
"101088","  750 ","  152.2","   24"
"101089","  750 ","  304.4","   24"
"101090","  750 ","  152.2","   24"
"101092","  750 ","  152.2","   24"
"101093","  750 ","  304.4","   24"
"101095","  750 ","  304.4","   24"
"101096","  750 ","  152.2","   24"
"101097","  750 ","  304.4","   24"
"101098","  750 ","  304.4","   24"
"101099","  750 ","  304.4","   24"
"101100","  750 ","  152.2","   24"
"101101","  750 ","  304.4","   24"
"101105","  750 ","  304.3","   24"
"101106","  750 ","  304.4","   24"
"101109","  750 ","  304.4","   24"
"101111","  750 ","  304.4","   24"
"101112","  750 ","  304.4","   24"
"101113","  750 ","  304.4","   24"
"101114","  750 ","  304.4","   24"
"101117","  750 ","  304.4","   24"
"101119","  750 ","  304.4","   24"
"101121","  750 ","  304.4","   24"
"101122","  750 ","  304.4","   24"
"101123","  750 ","  304.4","   24"
"101124","  750 ","  304.4","   24"
"101125","  750 ","  304.4","   24"
"101126","  750 ","  304.4","   24"
"101127","  750 ","  304.4","   24"
"101128","  750 ","  304.4","   24"
"101131","  750 ","  304.4","   24"
"101138","  750 ","  304.4","   24"
"101139","  750 ","  152.2","   24"
"101140","  750 ","  304.4","   24"
"101141","  750 ","  304.4","   24"
"101142","  750 ","  304.4","   24"
"101143","  750 ","  304.4","   24"
"101144","  750 ","  304.3","   24"
"101146","  750 ","  304.4","   24"
"101147","  750 ","  304.4","   24"
"101148","  750 ","  304.4","   24"
"101149","  750 ","  152.2","   24"
"101150","  750 ","  304.4","   24"
"101151","  750 ","  304.4","   24"
"101152","  750 ","  304.4","   24"
"101158","  750 ","  152.2","   24"
"101159","  750 ","  304.4","   24"
"101160","  750 ","  304.4","   24"
"101161","  750 ","  152.2","   24"
"101162","  750 ","  304.4","   24"
"101163","  750 ","  304.4","   24"
"101164","  750 ","  152.2","   24"
"101165","  750 ","  152.2","   24"
"101166","  750 ","  152.2","   24"
"101167","  750 ","  152.2","   24"
"101169","  750 ","  152.2","   24"
"101170","  750 ","  152.2","   24"
"101171","  750 ","  304.4","   24"
"101172","  750 ","  304.4","   24"
"101173","  750 ","  304.4","   24"
"101176","  750 ","  304.4","   24"
"101177","  750 ","  304.4","   24"
"101179"," 1500 ","  304.4","   24"
"101181","  750 ","  304.4","   24"
"101182","  750 ","  304.4","   24"
"101183","  750 ","  304.4","   24"
"101184","  750 ","  304.4","   24"
"101185","  750 ","  304.4","   24"
"101187","  750 ","  152.2","   24"
"101188","  750 ","  304.4","   24"
"101189","  750 ","  304.4","   24"
"101192","  750 ","  304.4","   24"
"101193","  750 ","  304.4","   24"
"101194","  750 ","  304.4","   24"
"101196","  750 ","  304.4","   24"
"101198","  750 ","  304.4","   24"
"101199","  750 ","  304.4","   24"
"101200","  750 ","  304.4","   24"
"101204","  750 ","  152.2","   24"
"101205","  750 ","  152.2","   24"
"101215","  750 ","  152.2","   24"
"101217","  750 ","  304.4","   24"
"101226","  750 ","  304.4","   24"
"101227","  750 ","  304.4","   24"
"101228","  750 ","  304.4","   24"
"101229","  750 ","  152.2","   24"
"101232","  750 ","  152.2","   24"
"101233","  750 ","  152.2","   24"
"101234","  750 ","  152.2","   24"
"101237","  750 ","  152.2","   24"
"101238","  750 ","  152.2","   24"
"101239","  750 ","  304.4","   24"
"101240","  750 ","  304.4","   24"
"101241","  750 ","  304.4","   24"
"101242","  750 ","  304.4","   24"
"101246","  750 ","  304.4","   24"
"101250","  750 ","  152.2","   24"
"101257","  750 ","  304.4","   24"
"101258","  750 ","  304.4","   24"
"101259","  750 ","  304.4","   24"
"101260","  750 ","  304.4","   24"
"101261","  750 ","  304.4","   24"
"101262","  750 ","  304.4","   24"
"101263","  750 ","  304.4","   24"
"101264","  750 ","  304.4","   24"
"101265","  750 ","  304.3","   24"
"101268","  750 ","  304.4","   24"
"101269","  750 ","  304.4","   24"
"101270","  750 ","  304.4","   24"
"101271","  750 ","  304.4","   24"
"101272","  750 ","  304.4","   24"
"101273","  750 ","  304.4","   24"
"101274","  750 ","  304.4","   24"
"101275","  750 ","  304.4","   24"
"101276","  750 ","  304.4","   24"
"101277","  750 ","  152.2","   24"
"101278","  750 ","  304.4","   24"
"101279","  750 ","  304.4","   24"
"101280","  750 ","  304.4","   24"
"101282","  750 ","  304.4","   24"
"101283","  750 ","  304.4","   24"
"101285","  750 ","  152.2","   24"
"101286","  750 ","  152.2","   24"
"101287","  750 ","  304.4","   24"
"101288","  750 ","  152.2","   24"
"101289","  750 ","  304.4","   24"
"101290","  750 ","  304.4","   24"
"101294","  750 ","  304.4","   24"
"101295","  750 ","  152.2","   24"
