"     ","    OZ/","       "
"ITEM ","   CASE","   ALC%"
"00112","  168.0","    9.0"
"00116","  288.0","    9.0"
"00118","   65.9","    9.0"
"00119","  287.9","    9.0"
"00120","  288.1","    9.0"
"00121","  168.0","    9.1"
"00122","  121.7","    5.0"
"00123","   41.9","       "
"00125","  287.9","    9.0"
"00127","  288.1","    4.5"
"00128","  192.1","    4.5"
"00129","  202.9","    4.2"
"00131","  202.8","    4.5"
"00132","  202.9","    5.8"
"00133","  267.8","    5.8"
"00134","  223.2","    5.0"
"00135","  288.1","    9.0"
"00136","  287.9","       "
"00305","  267.8","   14.0"
"00306","  288.1","       "
"00311","  288.1","       "
"00312","  168.1","       "
"00401","  119.7","       "
"00402","   33.8","       "
"00403","   67.6","       "
"00404"," 2353.4","       "
"00410","  267.8","       "
"00411","  267.8","       "
"00412","  267.8","       "
"00413","  304.3","       "
"00414","  304.3","       "
"00415","  304.3","       "
"00416","  202.9","       "
"00417","  202.9","       "
"00418","  202.9","       "
"00419","  288.1","       "
"00424","  192.1","       "
"00425","  192.1","       "
"00426","  144.0","       "
"00436","  144.0","       "
"00438","  133.9","       "
"00439","  133.9","       "
"00440","  133.9","       "
"00441","  133.9","       "
"00442","  133.9","       "
"00443","  133.9","       "
"00444","  133.9","       "
"00445","  133.9","       "
"00446","  170.4","       "
"00447","  170.4","       "
"00448","  170.4","       "
"00449","  170.4","       "
"00450","  170.4","       "
"00451","  170.4","       "
"00452","  170.4","       "
"00453","  170.4","       "
"00454","  170.4","       "
"00455","  170.4","       "
"00456","  170.4","       "
"00457","  170.4","       "
"00458","  170.4","       "
"00459","  405.8","       "
"00460","  405.8","       "
"00461","  405.8","       "
"00462","  405.8","       "
"00463","  405.8","       "
"00464","  405.8","       "
"00466","  133.9","       "
"00467","  204.5","       "
"00468","  170.4","       "
"00469","  202.9","       "
"00470","  202.9","       "
"00471","  202.9","       "
"00472","  202.9","       "
"00473","  202.9","       "
"00474","  202.9","       "
"00483","  170.4","       "
"00484","  170.4","       "
"00485","  202.9","       "
"00486","  202.9","       "
"00488","  204.5","       "
"00489","  202.9","       "
"00490","  202.9","       "
"00492","  275.1","       "
"00493","  275.1","       "
"00494","  275.1","       "
"00495","  275.1","       "
"00496","  101.4","       "
"00497","  101.4","       "
"00498","  162.3","       "
