"ITEM   ","DESCRIPT                           ","U/C","    COST01 ","   COST02 ","   COST03 ","   COST04 ","   COST05 ","   COST06 ","   COST07 ","   COST08 ","   COST09 ","   COST10 ","    TOTAL  "
"       ","                                   ","   ","           ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           "
"00112  ","POLAR BEER 24/07OZ BOTTLE          "," 24","    20.220 ","          ","    2.980 ","     .035 ","   14.408 ","          ","    1.041 ","     .136 ","     .100 ","     .050 ","    38.971 "
"00116  ","CORONA EXTRA 24/355 CAN            "," 24","    18.750 ","          ","    6.970 ","     .080 ","   24.710 ","          ","    1.040 ","     .200 ","     .260 ","     .140 ","    52.150 "
"00118  ","CORONA EXTRA 6/325                 ","  6","     5.879 ","          ","     .885 ","     .126 ","    5.743 ","          ","     .323 ","     .043 ","     .033 ","     .020 ","    13.052 "
"00119  ","CORONA EXTRA BTL 24/355            "," 24","    21.840 ","    1.660 ","    4.820 ","     .550 ","   24.710 ","          ","    1.230 ","     .180 ","     .160 ","     .090 ","    55.240 "
"00120  ","POLAR BEER  24/12OZ CAN            "," 24","    23.860 ","          ","    3.440 ","     .022 ","   24.710 ","          ","    1.211 ","     .159 ","     .120 ","     .060 ","    53.582 "
"00121  ","CORONITA EXTRA 24/207              "," 24","    16.740 ","          ","    2.290 ","     .350 ","   14.410 ","          ","    1.010 ","     .130 ","     .110 ","     .060 ","    35.100 "
"00122  ","ALFA BEER 12/30CL                  "," 12","    26.572 ","          ","    5.054 ","     .013 ","   24.710 ","          ","    1.350 ","     .186 ","          ","          ","    57.886 "
"00123  ","CORONITA EXTRA 6/190               ","  6","     4.720 ","          ","    1.440 ","     .020 ","    3.630 ","          ","     .280 ","     .040 ","     .060 ","     .030 ","    10.220 "
"00125  ","CORONA EXTRA BTL 24/330            "," 24","    21.840 ","    1.656 ","    3.544 ","     .527 ","   22.970 ","          ","    1.217 ","     .162 ","     .129 ","     .081 ","    52.127 "
"00127  ","POLAR BEER 24/12OZ BOTTLE          "," 24","    28.155 ","          ","    4.525 ","     .018 ","   24.723 ","          ","    1.471 ","     .192 ","     .146 ","     .083 ","    59.312 "
"00128  ","POLAR BEER 24/8OZ CAN              "," 24","    18.710 ","          ","    2.932 ","     .005 ","   16.450 ","          ","     .870 ","     .130 ","     .100 ","     .040 ","    39.236 "
"00129  ","LIEFM FRUITESE 24/250              "," 24","    40.300 ","          ","   11.080 ","     .200 ","   10.200 ","          ","          ","     .300 ","          ","          ","    62.080 "
"00131  ","POLAR BEER 24/8.45OZ CAN           "," 24","    14.740 ","          ","    1.740 ","     .020 ","   10.200 ","          ","          ","     .100 ","     .080 ","     .040 ","    26.920 "
"00134  ","BRASA BEER 24/275ML                "," 24","    23.340 ","          ","    6.050 ","     .010 ","   19.141 ","          ","    1.270 ","     .169 ","     .120 ","     .070 ","    50.169 "
