"WHSE  ","ITEM   ","DESCRIPT                           ","U/C","   COST01 ","   COST02 ","   COST03 ","   COST04 ","   COST05 ","   COST06 ","   COST07 ","   COST08 ","   COST09 ","   COST10 ","    TOTAL  ","   COST99 "
"      ","       ","                                   ","   ","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","00112  ","POLAR BEER 24/07OZ BOTTLE          "," 24","   20.220 ","          ","    2.980 ","     .035 ","   14.408 ","          ","    1.041 ","     .136 ","     .100 ","     .050 ","    38.971 ","   29.380 "
"11020 ","00112  ","POLAR BEER 24/07OZ BOTTLE          "," 24","   20.220 ","          ","    2.980 ","     .035 ","   14.408 ","          ","    1.041 ","     .136 ","     .100 ","     .050 ","    38.971 ","   29.380 "
"11060 ","00112  ","POLAR BEER 24/07OZ BOTTLE          "," 24","   20.220 ","          ","    2.980 ","     .035 ","          ","          ","          ","     .136 ","     .100 ","     .050 ","    23.522 ","   27.000 "
"11010 ","00116  ","CORONA EXTRA 24/355 CAN            "," 24","   18.750 ","          ","    6.970 ","     .080 ","   24.710 ","          ","    1.040 ","     .200 ","     .260 ","     .140 ","    52.150 ","   35.000 "
"11020 ","00116  ","CORONA EXTRA 24/355 CAN            "," 24","   18.750 ","          ","    6.970 ","     .080 ","   24.710 ","          ","    1.040 ","     .200 ","     .260 ","     .140 ","    52.150 ","   35.000 "
"11060 ","00116  ","CORONA EXTRA 24/355 CAN            "," 24","   18.750 ","          ","    6.970 ","     .080 ","          ","          ","          ","     .200 ","     .260 ","     .140 ","    26.400 ","   21.500 "
"11010 ","00118  ","CORONA EXTRA 6/325                 ","  6","    5.879 ","          ","     .885 ","     .126 ","    5.743 ","          ","     .323 ","     .043 ","     .033 ","     .020 ","    13.052 ","   35.000 "
"11020 ","00118  ","CORONA EXTRA 6/325                 ","  6","    5.879 ","          ","     .885 ","     .126 ","    5.743 ","          ","     .323 ","     .043 ","     .033 ","     .020 ","    13.052 ","   35.000 "
"11060 ","00118  ","CORONA EXTRA 6/325                 ","  6","    5.879 ","          ","     .885 ","     .126 ","          ","          ","          ","     .043 ","     .033 ","          ","     6.966 ","   28.500 "
"11010 ","00119  ","CORONA EXTRA BTL 24/355            "," 24","   21.840 ","    1.660 ","    4.820 ","     .550 ","   24.710 ","          ","    1.230 ","     .180 ","     .160 ","     .090 ","    55.240 ","   30.000 "
"11020 ","00119  ","CORONA EXTRA BTL 24/355            "," 24","   21.840 ","    1.660 ","    4.820 ","     .550 ","   24.710 ","          ","    1.230 ","     .180 ","     .160 ","     .090 ","    55.240 ","   30.000 "
"11060 ","00119  ","CORONA EXTRA BTL 24/355            "," 24","   21.840 ","    1.660 ","    4.820 ","     .550 ","          ","          ","          ","     .180 ","     .160 ","     .090 ","    29.300 ","   21.500 "
"11010 ","00120  ","POLAR BEER  24/12OZ CAN            "," 24","   23.860 ","          ","    3.440 ","     .022 ","   24.710 ","          ","    1.211 ","     .159 ","     .120 ","     .060 ","    53.582 ","   30.000 "
"11020 ","00120  ","POLAR BEER  24/12OZ CAN            "," 24","   23.860 ","          ","    3.440 ","     .022 ","   24.710 ","          ","    1.211 ","     .159 ","     .120 ","     .060 ","    53.582 ","   30.000 "
"11060 ","00120  ","POLAR BEER  24/12OZ CAN            "," 24","   23.860 ","          ","    3.440 ","     .022 ","          ","          ","          ","     .159 ","     .120 ","     .060 ","    27.661 ","   30.000 "
"11010 ","00121  ","CORONITA EXTRA 24/207              "," 24","   16.740 ","          ","    2.290 ","     .350 ","   14.410 ","          ","    1.010 ","     .130 ","     .110 ","     .060 ","    35.100 ","   31.460 "
"11020 ","00121  ","CORONITA EXTRA 24/207              "," 24","   16.740 ","          ","    2.290 ","     .350 ","   14.410 ","          ","    1.010 ","     .130 ","     .110 ","     .060 ","    35.100 ","   31.460 "
"11060 ","00121  ","CORONITA EXTRA 24/207              "," 24","   16.740 ","          ","    2.290 ","     .350 ","          ","          ","          ","     .130 ","     .110 ","     .060 ","    19.680 ","   21.500 "
"11010 ","00122  ","ALFA BEER 12/30CL                  "," 12","   26.572 ","          ","    5.054 ","     .013 ","   24.710 ","          ","    1.350 ","     .186 ","          ","          ","    57.886 ","          "
"11020 ","00122  ","ALFA BEER 12/30CL                  "," 12","   26.572 ","          ","    5.054 ","     .013 ","   24.710 ","          ","    1.350 ","     .186 ","          ","          ","    57.886 ","          "
"11060 ","00122  ","ALFA BEER 12/30CL                  "," 12","   26.572 ","          ","    5.054 ","     .013 ","          ","          ","          ","     .186 ","          ","          ","    31.826 ","          "
"11010 ","00123  ","CORONITA EXTRA 6/190               ","  6","    4.720 ","          ","    1.440 ","     .020 ","    3.630 ","          ","     .280 ","     .040 ","     .060 ","     .030 ","    10.220 ","   35.000 "
"11020 ","00123  ","CORONITA EXTRA 6/190               ","  6","    4.720 ","          ","    1.440 ","     .020 ","    3.630 ","          ","     .280 ","     .040 ","     .060 ","     .030 ","    10.220 ","   35.000 "
"11060 ","00123  ","CORONITA EXTRA 6/190               ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   36.500 "
"11010 ","00125  ","CORONA EXTRA BTL 24/330            "," 24","   21.840 ","    1.656 ","    3.544 ","     .527 ","   22.970 ","          ","    1.217 ","     .162 ","     .129 ","     .081 ","    52.127 ","          "
"11020 ","00125  ","CORONA EXTRA BTL 24/330            "," 24","   21.840 ","    1.656 ","    3.544 ","     .527 ","   22.970 ","          ","    1.217 ","     .162 ","     .129 ","     .081 ","    52.127 ","          "
"11060 ","00125  ","CORONA EXTRA BTL 24/330            "," 24","   21.840 ","    1.656 ","    3.544 ","     .527 ","          ","          ","          ","     .162 ","     .129 ","     .081 ","    27.940 ","          "
